user_id,dietary_preferences,activity_levels,health_goals,tdee,bmi,liked_ingredients,disliked_ingredients
13,"['HIGH_PROTEIN', 'VEG', 'GLU']","['SED', 'VER']",['GAI'],2342,26.2,"['Green scotch bonnet', 'Wrewre seeds', 'Fresh fish', 'Rice', 'Yellow squash', 'Snails', 'Mutton', 'Yogurt', 'Jalapeños', 'Clams', 'Chilli powder', 'Dawadawa']","['Eggplant', 'Olive oil', 'Cucumbers', 'Mackerel', 'Turmeric']"
14,['LOW_CARB'],['VER'],"['MUS', 'MAI']",1542,20.4,"['Chicken', 'Smoked fish', 'Peppers', 'Spinach', 'Sweet potatoes', 'Saffron', 'Vegetable oil', 'Garlic', 'Catfish', 'Turkey bacon']","['Hot sauce', 'Eggplant', 'Seafood']"
15,"['PES', 'LOW_CARB', 'HIGH_PROTEIN']",['LIG'],"['LOS', 'GAI']",2105,34.3,"['Clams', 'Moringa leaves', 'Leeks', 'Peppers', 'Peas', 'Almond milk', 'Fresh fish', 'Beef', 'Chilli powder', 'Jalapeños', 'Avocado oil', 'Collard greens', 'Garden eggs', 'Green scotch bonnet', 'Snails']","['Noodles', 'Tempeh', 'Kuuka powder', 'Parsley', 'Tilapia', 'Seaweed']"
16,['VER'],['MOD'],['MAI'],2722,25.4,"['Greek yoghurt', 'Tomatoes', 'Celery salt', 'Whole wheat pasta', 'Onions', 'Cashew milk', 'Cream', 'Sweet potatoes', 'Snails', 'Bell peppers', 'Noodles']","['Yogurt', 'Mussels', 'Quinoa pasta', 'Coconut cream', 'Pasta', 'Garlic powder', 'Veggie sausage']"
17,"['HIGH_PROTEIN', 'VEG']","['MOD', 'VER']","['MAI', 'MUS']",1897,21.1,"['Black beans', 'Noodles', 'Kontomire Leaves', 'Chili flakes', 'Cashew milk', 'Ginger', 'Tofu', 'Turmeric', 'Goat meat']","['Turkey bacon', 'Shrimp', 'Banana peppers', 'Smoked fish', 'Garlic powder', 'Avocado oil', 'Mushrooms', 'Onions']"
18,"['LOW_CARB', 'VER']",['MOD'],"['LOS', 'MUS']",2950,34.9,"['Duck', 'Offal', 'Garlic', 'Collard greens', 'Snails', 'Hot sauce']","['Sweet potatoes', 'Bacon', 'Rice', 'Tofu', 'Miso paste', 'Ginger', 'Okro', 'Leeks', 'Gboma leaves']"
19,"['PES', 'HAL']","['LIG', 'SED']",['GAI'],2672,20.5,"['Bell peppers', 'Garden eggs', 'Koobi', 'Noodles', 'Almonds', 'Garlic']","['Moringa powder', 'Chilli powder', 'Offal']"
20,"['HAL', 'GLU', 'VEG']","['MOD', 'LIG']",['LOS'],3408,32.5,"['Avocado oil', 'Cayenne pepper', 'Almond milk', 'Chickpeas', 'Lamb', 'Leeks', 'Garlic', 'Green scotch bonnet', 'Saffron', 'Bacon', 'Gravy', 'Pepper', 'Tomatoes', 'Tofu', 'Garden eggs']","['Cilantro', 'Clams', 'Vegetable oil', 'Turmeric', 'Mussels', 'Seaweed']"
21,['GLU'],"['LIG', 'SED']","['FIT', 'MAI']",2265,21.9,"['Mackerel', 'Chicken liver', 'Kale', 'Potatoes', 'Smoked mackerel', 'Seafood', 'Spinach', 'Seitan', 'Vegetable oil', 'Vegan cheese', 'Ginger', 'Offal', 'Seaweed']","['Mushrooms', 'Collard greens', 'Shallots']"
22,"['HIGH_PROTEIN', 'LOW_CARB']","['LIG', 'VER']","['FIT', 'MUS']",1952,33.1,"['Yams', 'Spaghetti', 'Peanuts', 'Sweet potatoes', 'Offal', 'Mutton', 'Vegetable broth', 'Seitan']","['Chili paste', 'Mackerel', 'Sauce']"
23,"['VER', 'LOW_CARB']",['SED'],"['MUS', 'LOS']",2441,20.3,"['Almond milk', 'Chili flakes', 'Ginger', 'Dawadawa', 'Duck', 'Saltpere', 'Dry smoked river fish', 'Broth', 'Saffron', 'Habanero', 'Cayenne pepper']","['Mushrooms', 'Coconut oil', 'Mushroom broth', 'Catfish', 'Dry spices', 'Vegetable oil', 'Cheese', 'Yogurt', 'Kuuka powder']"
24,['HAL'],['LIG'],"['GAI', 'FIT']",2230,21.6,"['Noodles', 'Bulgur', 'Almond milk', 'Goat meat', 'Zucchini', 'Almond yoghurt', 'Dawadawa', 'Coconut milk', 'Lamb', 'Habanero', 'Onions', 'Shrimp']","['Sausages', 'Clams', 'Peanuts', 'Tempeh', 'Crabs']"
25,"['VEG', 'VER', 'PES']",['VER'],['MAI'],2624,48.4,"['Okro', 'Spinach', 'Ground ginger', 'dry_salted_fish', 'Kpakposhito paste', 'Mussels', 'Periwinkle', 'Green scotch bonnet', 'Garden eggs']","['Dry spices', 'Cashews', 'Almonds', 'Dried cod', 'Saltpere', 'Quinoa pasta', 'Avocado oil', 'Leeks', 'Clams']"
26,"['HIGH_PROTEIN', 'GLU']",['VER'],['GAI'],3393,31.0,"['Cheese', 'Yogurt', 'Dawadawa', 'Chickpeas', 'Black beans', 'Clams', 'Ginger']","['Whole wheat pasta', 'Eggs', 'Sweet potatoes', 'Gravy', 'Plantains', 'Saffron', 'Shrimp', 'Kontomire Leaves']"
27,"['HAL', 'GLU', 'VEG']",['MOD'],"['MUS', 'LOS']",2211,23.7,"['Moringa leaves', 'Lamb', 'Peanuts', 'Dried cod', 'Snails', 'Shrimp', 'Chicken']","['Periwinkle', 'Tilapia', 'Greek yoghurt', 'Green scotch bonnet', 'Tomatoes', 'Cucumbers', 'Wrewre seeds', 'Hot sauce', 'Bulgur']"
28,"['VER', 'VEG', 'HIGH_PROTEIN']","['MOD', 'SED']","['LOS', 'GAI']",2281,16.0,"['Lobster', 'Chilli powder', 'Hot sauce', 'Green beans', 'Veggie sausage', 'Offal']","['Mushrooms', 'Shrimp', 'Saffron', 'Coconut cream', 'Swiss chard', 'Banana peppers', 'Peas']"
29,"['VEG', 'LOW_CARB']",['LIG'],"['GAI', 'FIT']",2053,27.2,"['Coconut oil', 'Beef', 'Parsley', 'Eggplant', 'Hot sauce', 'Swiss chard', 'Smoked mackerel']","['Green scotch bonnet', 'Fresh fish', 'Almond milk', 'Spaghetti', 'Vegetable oil']"
30,"['HAL', 'LOW_CARB', 'VEG']",['LIG'],"['LOS', 'FIT']",2891,36.5,"['Coconut oil', 'Whole wheat pasta', 'Kpakposhito paste', 'Collard greens', 'Kuuka powder', 'Turmeric', 'Chili flakes', 'Vegetable broth', 'Gravy', 'Canola oil', 'Dawadawa', 'Offal', 'Chilli powder', 'Momoni']","['Okro', 'Lamb', 'Banana peppers', 'Tilapia', 'Duck', 'Green beans', 'Yogurt', 'Vegan cheese']"
31,['GLU'],"['LIG', 'SED']",['FIT'],2050,30.8,"['Bacon', 'Smoked fish', 'Rice', 'Almond milk', 'Celery salt', 'Garlic', 'Tempeh', 'Seafood', 'Broth', 'Cod', 'Beef']","['Rice noodles', 'Peas', 'Snails', 'Peppers', 'Chicken liver', 'Kuuka powder', 'Cayenne pepper', 'Mackerel', 'Momoni', 'Saltpere']"
32,"['HIGH_PROTEIN', 'VEG', 'HAL']",['MOD'],['GAI'],2957,20.5,"['Saffron', 'Chili flakes', 'Red palm oil', 'Cream', 'Hot sauce', 'Chili paste']","['Broth', 'Offal', 'Smoked fish', 'Momoni', 'Mushrooms', 'Red palm nut extract', 'Habanero', 'Ginger']"
33,"['VER', 'GLU', 'HAL']",['LIG'],"['FIT', 'GAI']",1605,21.9,"['Shrimp', 'Green scotch bonnet', 'Anchovies', 'Potatoes', 'Mutton', 'Banana peppers', 'Chickpeas', 'Lentils', 'Turkey']","['Swiss chard', 'Catfish', 'Okro', 'Quinoa pasta', 'Mushrooms', 'Dawadawa', 'Chicken']"
34,"['HAL', 'VER', 'PES']",['LIG'],['LOS'],3347,30.0,"['Shrimp', 'Hot sauce', 'Clams', 'Shallots', 'Snails', 'Chicken', 'Seafood', 'Bacon', 'Ginger', 'Rice', 'Wrewre seeds']","['Pasta', 'Momoni', 'Rice noodles', 'Sauce', 'Cucumbers', 'Collard greens', 'Gboma leaves', 'Sausages', 'Chicken liver', 'Turmeric']"
35,"['LOW_CARB', 'VEG', 'VER']",['LIG'],['LOS'],2179,27.2,"['Moringa leaves', 'Shrimp', 'Wrewre seeds', 'Red palm nut extract', 'Koobi', 'Canola oil', 'Miso paste', 'Pepper']","['Momoni', 'Cashew milk', 'Gboma leaves', 'Cheese', 'Leeks', 'Tofu', 'Pasta', 'Sausages', 'Cashews', 'Bacon']"
36,"['GLU', 'HIGH_PROTEIN']",['SED'],['FIT'],3031,22.9,"['Dry spices', 'Bananas', 'Ginger', 'Gboma leaves', 'Saltpere', 'Jalapeños', 'Peanuts']","['Vegetable broth', 'Red palm oil', 'Cheese', 'Chickpeas', 'Seafood']"
37,"['LOW_CARB', 'HAL', 'GLU']",['SED'],"['GAI', 'LOS']",2367,11.5,"['Cream', 'Tomatoes', 'Canola oil', 'Cayenne pepper', 'Bananas', 'Quinoa pasta', 'Momoni', 'Rice noodles', 'Okro', 'Dry spices', 'Turkey']","['Seafood', 'Offal', 'Clams', 'Coconut milk', 'Jalapeños', 'Rice', 'Sesame seeds', 'Green beans', 'Broth', 'Vegetable broth']"
38,['GLU'],['LIG'],['GAI'],3052,25.9,"['Celery salt', 'Chili paste', 'Duck', 'Peanuts', 'Sauce', 'Okro', 'Almond milk', 'Lobster', 'Cilantro', 'Dry spices', 'Miso paste']","['Vegetable oil', 'Turkey', 'Bacon', 'Beef', 'Gboma leaves', 'Tofu', 'Goat meat', 'Smoked mackerel', 'Whole wheat pasta']"
39,['PES'],['VER'],['MAI'],2888,33.0,"['Whole wheat pasta', 'Okro', 'Plantains', 'Olive oil', 'Coconut milk', 'Vegetable oil', 'Saffron']","['Duck', 'Zucchini', 'Bacon', 'Pasta', 'Jalapeños']"
40,"['PES', 'LOW_CARB']",['SED'],"['LOS', 'FIT']",2230,29.2,"['Sausages', 'Miso paste', 'Noodles', 'Rice noodles', 'Periwinkle', 'Greek yoghurt', 'Red palm oil', 'Mussels', 'Zucchini', 'Almond yoghurt', 'Coconut milk', 'Quinoa pasta', 'Saltpere']","['Lamb', 'Dry spices', 'Eggplant', 'Carrots', 'Mackerel', 'Sesame seeds', 'Plantains', 'Gboma leaves']"
41,"['VEG', 'GLU']",['LIG'],['MUS'],2517,28.3,"['Miso paste', 'Greek yoghurt', 'Yellow squash', 'Zucchini', 'Catfish', 'Banana peppers', 'Chickpeas']","['Pasta', 'Bacon', 'Quinoa pasta', 'Smoked fish', 'Peas', 'Black beans', 'Chicken', 'Shallots', 'Parsley', 'Seitan']"
42,"['VEG', 'HIGH_PROTEIN', 'VER']",['VER'],['FIT'],2396,30.3,"['Peanuts', 'Goat meat', 'Cilantro', 'Seitan', 'Turmeric']","['Bell peppers', 'Collard greens', 'Rice']"
43,['VEG'],['SED'],['LOS'],2582,33.1,"['Moringa leaves', 'Haddock', 'Tofu', 'Chicken sausage', 'Mushroom broth', 'Shrimp', 'Broth', 'Yellow squash', 'Dried cod', 'Pepper', 'Carrots', 'Chili flakes', 'Coconut cream', 'Saltpere']","['Chicken liver', 'Collard greens', 'Eggplant', 'Ground ginger', 'Almond milk', 'Moringa powder', 'Tilapia']"
44,['PES'],['LIG'],['GAI'],2754,16.0,"['Yellow squash', 'Vegetable broth', 'Dry smoked river fish', 'Kale', 'Peanuts', 'Onions', 'Smoked mackerel']","['Beef', 'Cayenne pepper', 'Dried cod', 'Sausages', 'Bulgur', 'Chicken sausage', 'Peas', 'Shallots', 'Peppers', 'Haddock']"
45,"['HIGH_PROTEIN', 'GLU']","['LIG', 'SED']","['FIT', 'LOS']",3364,33.4,"['Turkey', 'Moringa leaves', 'Lentils', 'Parsley', 'Quinoa', 'Green scotch bonnet', 'Almonds', 'Cilantro', 'Sesame seeds', 'Garlic', 'Canola oil', 'Broth', 'Mackerel']","['Cheese', 'Eggs', 'Bacon']"
46,"['GLU', 'HAL']","['VER', 'LIG']",['MUS'],2651,27.8,"['dry_salted_fish', 'Habanero', 'Cod', 'Veggie sausage', 'Quinoa', 'Ground ginger', 'Kuuka powder', 'Periwinkle', 'Chickpeas', 'Mushrooms', 'Red palm oil', 'Vegetable oil', 'Mushroom broth', 'Saffron', 'Spinach']","['Swiss chard', 'Yellow squash', 'Sauce', 'Collard greens', 'Beef', 'Coconut milk', 'Jalapeños', 'Dried cod', 'Olive oil']"
47,['VEG'],"['LIG', 'VER']","['FIT', 'GAI']",2260,13.3,"['Eggplant', 'Crabs', 'Carrots', 'Duck', 'Seafood', 'Snails', 'Smoked fish', 'Cayenne pepper']","['Chili paste', 'Cod', 'Dry spices']"
48,['PES'],['LIG'],"['LOS', 'FIT']",2326,25.0,"['Kpakposhito paste', 'Green beans', 'Miso paste', 'Broth', 'Canola oil', 'Pasta', 'Rice noodles', 'Eggs', 'Cilantro', 'Dry smoked river fish', 'Koobi']","['Palm oil', 'Sausages', 'Quinoa', 'Black beans', 'Dried cod', 'Chilli powder', 'Ginger']"
49,['PES'],['LIG'],['MAI'],2286,23.9,"['Clams', 'Leeks', 'Collard greens', 'Red palm nut extract', 'Bell peppers', 'Parsley']","['Bananas', 'Saltpere', 'Tomatoes']"
50,"['VER', 'GLU']",['MOD'],"['FIT', 'MAI']",2091,21.4,"['Lobster', 'Duck', 'Ground ginger', 'Momoni', 'Bananas', 'Quinoa', 'Spinach', 'Sauce']","['Yogurt', 'Okro', 'Vegetable broth', 'Fresh fish']"
51,['PES'],"['LIG', 'LIG']","['LOS', 'FIT']",2453,18.1,"['Parsley', 'Zucchini', 'Chili paste', 'Spaghetti', 'Quinoa pasta', 'Moringa powder', 'Snails', 'Garlic powder', 'Kpakposhito paste', 'Onions', 'Dry smoked river fish', 'Seaweed', 'Cilantro', 'Dawadawa']","['Cucumbers', 'Coconut oil', 'Yams', 'Shallots']"
52,['GLU'],"['MOD', 'SED']",['GAI'],2540,18.3,"['Moringa leaves', 'Peas', 'Chicken sausage', 'Crabs', 'Seitan', 'Spinach', 'Rice noodles', 'Sauce', 'Cashews', 'Garlic powder', 'Vegetable oil', 'Habanero', 'Yellow squash', 'Dawadawa', 'Eggs']","['Lamb', 'Pasta', 'Vegetable broth', 'Bananas', 'Jalapeños', 'Quinoa pasta']"
53,"['GLU', 'VEG']","['SED', 'VER']",['MUS'],1880,19.2,"['Catfish', 'Peas', 'Cayenne pepper', 'Quinoa', 'Sauce', 'Eggplant', 'Okro', 'Almonds', 'Turmeric', 'Canola oil', 'Moringa powder', 'Cucumbers', 'Celery salt']","['Bell peppers', 'Clams', 'Rice', 'Mushroom broth', 'Chicken liver', 'Periwinkle', 'Garlic powder', 'Vegetable broth']"
54,"['VER', 'HAL']",['SED'],"['LOS', 'MAI']",3236,47.3,"['Almonds', 'Collard greens', 'Chickpeas', 'Swiss chard', 'Gravy', 'Peppers', 'Quinoa', 'Rice noodles', 'Seaweed', 'Whole wheat pasta', 'Sauce', 'Haddock', 'Mackerel', 'Coconut milk', 'Wrewre seeds']","['Tomatoes', 'Moringa leaves', 'Cilantro']"
55,"['PES', 'HAL', 'LOW_CARB']","['LIG', 'SED']","['LOS', 'MUS']",2517,21.9,"['Mushroom broth', 'Seaweed', 'Chilli powder', 'Goat meat', 'Beef', 'Cashew milk', 'Quinoa', 'Chickpeas', 'Red palm oil', 'dry_salted_fish', 'Carrots', 'Red palm nut extract', 'Bulgur', 'Rice noodles']","['Ground ginger', 'Peppers', 'Mushrooms', 'Green beans', 'Koobi', 'Bell peppers', 'Snails', 'Almonds', 'Celery salt', 'Turkey']"
56,"['HIGH_PROTEIN', 'LOW_CARB']","['MOD', 'VER']","['GAI', 'LOS']",3020,35.3,"['Mussels', 'Sauce', 'Green beans', 'Moringa powder', 'Moringa leaves', 'Sweet potatoes', 'Beef', 'Turkey bacon', 'Kontomire Leaves', 'Wrewre seeds', 'Smoked fish', 'Broth', 'Cucumbers', 'Black beans', 'Shrimp']","['Chicken liver', 'Chili flakes', 'Sesame seeds']"
57,['GLU'],['SED'],"['LOS', 'FIT']",2749,18.1,"['Shrimp', 'Dry smoked river fish', 'Olive oil', 'Kontomire Leaves', 'Bacon', 'Pasta', 'Cream']","['Eggplant', 'Garlic powder', 'Momoni', 'Haddock', 'Carrots', 'Lamb', 'Leeks', 'dry_salted_fish', 'Yogurt']"
58,"['HIGH_PROTEIN', 'GLU']",['SED'],"['MUS', 'FIT']",3257,29.8,"['Parsley', 'Pepper', 'Duck', 'Peppers', 'Whole wheat pasta']","['Goat meat', 'dry_salted_fish', 'Bell peppers', 'Momoni', 'Almond yoghurt', 'Quinoa']"
59,"['PES', 'GLU', 'VEG']",['VER'],"['GAI', 'FIT']",2278,41.8,"['Cayenne pepper', 'Sesame seeds', 'Saltpere', 'Peanuts', 'Olive oil', 'Offal', 'Coconut oil']","['Quinoa', 'Haddock', 'Bulgur', 'Snails', 'Seaweed', 'Turkey bacon', 'Chili flakes']"
60,['PES'],['LIG'],['GAI'],1842,15.7,"['Turkey', 'Snails', 'Seaweed', 'Olive oil', 'Pepper']","['Kale', 'Quinoa', 'Chili flakes', 'Dry smoked river fish', 'Anchovies', 'Parsley', 'Clams']"
61,['LOW_CARB'],['LIG'],['MAI'],2675,45.9,"['Almonds', 'Vegetable broth', 'Moringa powder', 'Whole wheat pasta', 'Mutton', 'Broth', 'Garden eggs', 'Sweet potatoes', 'Chickpeas', 'Greek yoghurt', 'Lentils', 'Avocado oil']","['Bell peppers', 'Chili flakes', 'Chilli powder', 'Pepper', 'Crabs']"
62,"['LOW_CARB', 'HIGH_PROTEIN']",['LIG'],['MAI'],2408,27.2,"['Mussels', 'Duck', 'Seitan', 'Coconut milk', 'Rice noodles', 'Noodles', 'Smoked fish', 'Catfish', 'Vegan cheese', 'Garlic powder', 'Quinoa']","['Avocado oil', 'Wrewre seeds', 'Hot sauce', 'Miso paste', 'Shrimp', 'Turkey bacon', 'Seafood', 'Sesame seeds', 'Collard greens', 'Leeks']"
63,"['LOW_CARB', 'VEG']","['VER', 'LIG']","['GAI', 'LOS']",2571,30.5,"['Plantains', 'Gboma leaves', 'Yams', 'Seaweed', 'Habanero']","['Catfish', 'dry_salted_fish', 'Gravy', 'Bell peppers', 'Chili paste', 'Peanuts']"
64,"['HIGH_PROTEIN', 'VER']","['VER', 'SED']","['MAI', 'FIT']",2848,32.1,"['Chickpeas', 'Green scotch bonnet', 'Vegan cheese', 'Haddock', 'Cilantro', 'Shrimp', 'Mussels', 'Ginger', 'Fresh fish', 'Cheese', 'Green beans', 'Spinach', 'Turkey']","['Sauce', 'Kale', 'Coconut milk', 'Leeks', 'Canola oil', 'Chicken', 'Turkey bacon', 'Smoked fish']"
65,['VEG'],['MOD'],['LOS'],2449,17.5,"['Wrewre seeds', 'Sweet potatoes', 'Shallots', 'Smoked mackerel', 'Potatoes', 'Dry smoked river fish', 'Chili paste']","['Seafood', 'Smoked fish', 'Cucumbers', 'Cilantro', 'Dry spices', 'Whole wheat pasta', 'Habanero', 'Seaweed', 'Red palm nut extract', 'Kuuka powder']"
66,"['HAL', 'VER', 'HIGH_PROTEIN']",['MOD'],"['FIT', 'MAI']",1675,23.3,"['Snails', 'Almond milk', 'Avocado oil', 'Turmeric', 'Kuuka powder', 'Carrots']","['Clams', 'Yellow squash', 'Red palm nut extract', 'Bacon', 'Mushrooms', 'Mackerel']"
67,['HAL'],['SED'],"['MAI', 'LOS']",1986,23.4,"['Onions', 'Palm oil', 'Zucchini', 'Chicken sausage', 'Peas', 'Eggplant', 'Chili paste', 'Cilantro', 'Anchovies', 'Turkey', 'Wrewre seeds', 'Goat meat', 'Peppers', 'Cucumbers']","['Bulgur', 'Kpakposhito paste', 'Pasta']"
68,['LOW_CARB'],['SED'],['LOS'],2964,28.3,"['Red palm oil', 'Saltpere', 'Wrewre seeds', 'Almond milk', 'Broth', 'Coconut milk', 'Ground ginger', 'Seafood', 'Cucumbers', 'Green scotch bonnet']","['Swiss chard', 'Beef', 'Garlic powder', 'Tofu']"
69,"['LOW_CARB', 'VEG']","['LIG', 'SED']",['LOS'],2699,40.6,"['Wrewre seeds', 'Tempeh', 'Pasta', 'Cheese', 'Plantains', 'Tofu', 'Leeks', 'Carrots', 'Fresh fish', 'Green scotch bonnet', 'Bananas', 'Almond yoghurt', 'Avocado oil']","['Lentils', 'Greek yoghurt', 'Tomatoes']"
70,['VEG'],"['SED', 'LIG']",['GAI'],2784,39.1,"['Momoni', 'Potatoes', 'Eggplant', 'Spinach', 'Gboma leaves']","['Quinoa pasta', 'Coconut oil', 'Tofu', 'Offal', 'Mutton', 'Canola oil', 'Cod']"
71,"['HIGH_PROTEIN', 'HAL', 'VER']",['SED'],['MUS'],2656,25.5,"['Fresh fish', 'Coconut oil', 'Peppers', 'Coconut milk', 'Sweet potatoes']","['Cilantro', 'Yellow squash', 'Vegetable broth', 'Chili paste', 'Cashew milk', 'Lobster', 'Red palm nut extract', 'Noodles', 'Red palm oil']"
72,"['VEG', 'HAL', 'HIGH_PROTEIN']","['LIG', 'LIG']",['MUS'],2149,18.3,"['Plantains', 'Seafood', 'Eggplant', 'Whole wheat pasta', 'Quinoa pasta']","['Garden eggs', 'Fresh fish', 'Cashews', 'Chicken liver', 'Clams']"
73,['PES'],['LIG'],['MUS'],3239,31.6,"['Garden eggs', 'Noodles', 'Eggs', 'Seitan', 'Mackerel', 'Fresh fish', 'Greek yoghurt', 'Cilantro', 'Cod', 'Canola oil', 'Chicken', 'Chicken liver', 'Coconut oil']","['Seafood', 'dry_salted_fish', 'Mushroom broth', 'Almond yoghurt', 'Almonds']"
74,"['LOW_CARB', 'GLU']","['VER', 'SED']","['MAI', 'MUS']",2749,29.1,"['Greek yoghurt', 'Mussels', 'Kontomire Leaves', 'Ginger', 'Anchovies', 'Tofu', 'Moringa powder', 'Potatoes', 'Dry spices', 'Zucchini', 'Carrots', 'Pasta']","['Catfish', 'Offal', 'Eggs', 'Rice', 'Veggie sausage', 'Hot sauce', 'Yogurt', 'Garlic']"
75,"['HAL', 'PES']","['MOD', 'LIG']","['FIT', 'GAI']",2468,24.2,"['Saffron', 'Shallots', 'Dry spices', 'Bulgur', 'Duck', 'Cream', 'Almonds', 'Bell peppers', 'Greek yoghurt', 'Spaghetti', 'Green scotch bonnet', 'Coconut oil', 'Black beans', 'Rice']","['Coconut milk', 'Kpakposhito paste', 'Garden eggs', 'Fresh fish', 'Leeks', 'Garlic', 'Palm oil', 'Lamb']"
76,['GLU'],"['VER', 'SED']",['MAI'],2336,35.4,"['Ademe leaves', 'Eggs', 'Canola oil', 'Bacon', 'Jalapeños', 'Garden eggs', 'Turmeric', 'Okro', 'Cod', 'Kpakposhito paste', 'Garlic powder', 'Moringa powder', 'Dawadawa', 'Mutton', 'Celery salt']","['Sausages', 'Spaghetti', 'Chicken sausage']"
77,"['GLU', 'LOW_CARB', 'PES']",['LIG'],"['GAI', 'MAI']",2514,21.6,"['Spaghetti', 'Bulgur', 'Sauce', 'Seaweed', 'Vegan cheese', 'Mussels', 'Ademe leaves', 'Gravy', 'Quinoa', 'Kale']","['Yellow squash', 'Fresh fish', 'Wrewre seeds']"
78,['VEG'],['LIG'],"['MAI', 'GAI']",2888,39.4,"['Tomatoes', 'Coconut milk', 'Cod', 'Wrewre seeds', 'Duck', 'Turmeric', 'Smoked fish', 'Plantains', 'Offal', 'Sweet potatoes', 'Pepper', 'Red palm oil']","['Clams', 'Ademe leaves', 'Potatoes', 'Pasta', 'Shrimp', 'Jalapeños', 'Peanuts']"
