recipe_id,name,ingredients,cuisine,recipe_info,vegan,vegetarian,gluten_free,pescatarian,halal,meal_type,dish_type,tags,nutrition_info_id,calories,protein,carbs,fat,fiber
CMJqkkvW,Miso Soup,"['seaweed','tofu','miso paste']",['asian'],low calorie,TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['balanced'],Fy7VTqmp,100,5,0,4,0
KuLuHeJM,Beef Stroganoff,"['beef','mushrooms','cream']",['european'],high protein,FALSE,FALSE,FALSE,FALSE,FALSE,"['lunch','dinner']",['protein'],['balanced'],pLUyoCn8,600,35,0,30,0
2t9O0zMC,Bulgur Salad,"['bulgur','tomatoes','parsley']",['middle eastern'],balanced,TRUE,TRUE,TRUE,TRUE,TRUE,"['lunch','dinner']",['salad'],['balanced'],0tjhih0N,250,6,0,8,0
lJwJH94u,Samosa,"['flour','vegetables','spices']","['indian','west african']",high carb,FALSE,TRUE,FALSE,FALSE,TRUE,['snack'],['side'],['balanced'],u73oTU0O,300,5,0,15,0
5dY6fEOP,Bibimbap,"['rice','vegetables','egg']",['asian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['carb'],['balanced'],J97eQTg3,500,20,0,15,0
VLXa0lrM,Lamb Shawarma,"['lamb','spices','pita']",['middle eastern'],high protein,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']",['protein'],['balanced'],jYMpEcf9,700,30,0,30,0
hUpgWKwu,Tom Yum Soup,"['shrimp','lemongrass','broth']",['asian'],low calorie,FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['soup'],['balanced'],fSlgVGM0,150,10,0,5,0
1DUSWYxX,Fufu,"['cassava','plantains']",['ghanaian'],balanced,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']","['carb','side']",['balanced'],sDvnuIHH,500,25,0,15,0
iYy68JlS,Toad in the Hole,"['sausages','flour','gravy']",['european'],high fat,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']",['protein'],['balanced'],Zf15jr7D,600,20,0,30,0
EU5uAhXY,Vegetable Korma,"['vegetables','coconut milk','spices']",['indian'],balanced,TRUE,TRUE,FALSE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],D79Duwdo,400,8,0,20,0
ZhvKOhHD,Chicken Tagine,"['chicken','apricots','spices']",['middle eastern'],high protein,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['high-protein'],l23oFH9j,550,30,0,20,0
QqMMERpP,Biryani with Vegetables,"['rice','vegetables','spices']",['asian'],balanced,TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['carb'],['balanced'],QrHdstEv,400,8,0,10,0
yFx8lLO1,Roast Duck,"['duck','potatoes','vegetables']",['european'],high fat,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['protein'],['high-fat'],TmisMxDc,800,40,0,50,0
ghe2qrjH,Okonomiyaki,"['flour','cabbage','eggs','pork']",['asian'],high fat,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']",['protein'],['high-fat'],6CO2Yhpa,500,15,0,20,0
q3HRSWjH,Chicken Caesar Salad,"['chicken','lettuce','parmesan','dressing']",['european'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['salad'],['balanced'],aUwP0Pmh,350,25,0,20,0
RXgy0caD,Quinoa Salad,"['quinoa','vegetables','olive oil']",['middle eastern'],balanced,TRUE,TRUE,TRUE,TRUE,TRUE,"['lunch','dinner']",['salad'],['balanced'],gtGAZIzf,300,10,0,10,0
PPifURai,Spring Rolls,"['vegetables','rice paper','soy sauce']",['asian'],low calorie,TRUE,TRUE,TRUE,TRUE,TRUE,['snack'],['side'],['moderate-carbs'],7tSOZefH,150,3,0,5,0
L3YTc77i,Pork Adobo,"['pork','soy sauce','vinegar']",['asian'],high protein,FALSE,FALSE,FALSE,FALSE,FALSE,"['lunch','dinner']",['sauce'],['high-protein'],mfrHhh8j,600,35,0,40,0
D84U61jU,Gado Gado,"['vegetables','peanut sauce','eggs']",['asian'],balanced,TRUE,TRUE,TRUE,TRUE,TRUE,"['lunch','dinner']",['salad'],['balanced'],ObJUF7oJ,400,15,0,20,0
vVuWFF3G,Shepherd's Pie,"['lamb','potatoes','vegetables']",['european'],high protein,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']",['protein'],['high-protein'],hgWMiO0a,550,30,0,20,0
zmRPgtZn,Gnocchi with Pesto,"['potatoes','basil','parmesan']",['european'],balanced,FALSE,TRUE,FALSE,FALSE,TRUE,"['lunch','dinner']",['carb'],['balanced'],rU6mfgA4,400,10,0,15,0
fHwm0IsO,Chicken Satay,"['chicken','peanut sauce','rice']",['asian'],high protein,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['protein'],['balanced'],W1cEZTIb,500,30,0,20,0
hGHqXX3q,Mushroom Risotto,"['rice','mushrooms','parmesan']",['european'],balanced,FALSE,TRUE,FALSE,TRUE,TRUE,"['lunch','dinner']",['carb'],['balanced'],jX5tw5FJ,450,10,0,15,0
mKohpXgb,Red Lentil Curry,"['lentils','tomatoes','spices']",['indian'],high protein,TRUE,TRUE,TRUE,TRUE,TRUE,"['lunch','dinner']",['sauce'],['high-protein'],EqjHFOaB,300,20,0,10,0
Y5cv7qmq,Hummus and Veggie Wrap,"['hummus','vegetables','tortilla']",['middle eastern'],balanced,TRUE,TRUE,TRUE,TRUE,TRUE,"['lunch','dinner']",['main'],['balanced'],lqH0AArc,350,8,0,12,0
KDb8MMK4,Chicken Tikka,"['chicken','yogurt','spices']",['indian'],high protein,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']",['protein'],['high-protein'],UFZRbRCw,600,35,0,30,0
OLk9MmT7,Ratatouille,"['zucchini','tomatoes','eggplant']",['european'],low calorie,TRUE,TRUE,TRUE,TRUE,TRUE,"['lunch','dinner']",['vegetable'],"['moderate-carbs','balanced']",MKVDfdyl,150,5,0,5,0
3ce2Mp0t,Vietnamese Pho,"['rice noodles','beef','broth']",['asian'],low calorie,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']",['soup'],['moderate-carbs'],73A8q9Mz,350,20,0,8,0
LIoKbXSo,Beef Bulgogi,"['beef','soy sauce','garlic']",['asian'],high protein,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']",['protein'],['high-protein'],oOwLtERq,500,35,0,20,0
qlb6ggzX,Caesar Wrap,"['chicken','lettuce','parmesan','tortilla']",['european'],balanced,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']",['main'],['balanced'],wu90dXmF,400,25,0,15,0
mLRAU88s,Grilled Salmon,"['salmon','lemon','vegetables']",['european'],high protein,FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['protein'],['high-protein'],GGLI4JQw,450,35,0,20,0
iZKjqQUD,Chicken Alfredo,"['chicken','pasta','cream']",['european'],high protein,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']",['carb'],"['high-protein','balanced']",thfsEEbV,700,30,0,25,0
F4kqW5xl,Tilapia Light Soup,"['tilapia','tomatoes','onions','pepper','garden eggs','garlic','ginger','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['soup'],['balanced'],TZtFPzxX,280,30,0,38,0
gHFOnspn,Goat Meat Light Soup,"['goat meat','tomatoes','onions','pepper','garden eggs','garlic','ginger','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['balanced'],3Zmvcchi,350,33,0,38,0
z5toR7Is,Apofoanto Light Soup (Fresh Fish Light Soup),"['fresh fish','tomatoes','onions','pepper','garden eggs','garlic','ginger','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['soup'],['balanced'],uflQeRc4,270,28,0,38,0
dR7prO0G,Abe Nkwan (Palm Nut Soup),"['red palm nut extract','snails','smoked fish','crabs','periwinkle','beef','fresh tomatoes','onions','pepper','kpakposhito','garlic','ginger','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['soup'],"['high-fat','moderate-protein','balanced','moderate-carbs']",TJM9EYXj,600,35,0,40,0
g5jbQXPV,Nkatse Nkwan (Beef Groundnut Soup),"['groundnut paste','smoked fish','beef','fresh tomatoes','onions','pepper','kpakposhito','garlic','ginger','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['high-protein'],SBlV3BuP,475,30,10,30,0
mF4l5xwN,Nkatse Nkwan (Tofu Groundnut Soup),"['groundnut paste','tofu','fresh tomatoes','onions','pepper','kpakposhito','garlic','ginger','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['high-protein'],miccpkcx,375,30,8,18,0
vFnUV0ng,Nkatse Nkwan (Chicken Groundnut Soup),"['groundnut paste','smoked fish','chicken','fresh tomatoes','onions','pepper','kpakposhito','garlic','ginger','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['high-protein'],Zj1nWYx8,450,25,10,28,0
g6q1PEmI,Wrewre Nkwan (Muskmelon Seed Soup),"['wrewere seeds','smoked fish','beef','fresh tomatoes','onions','pepper','kpakposhito','garlic','ginger','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['high-protein'],hpn2wOJ1,430,28,12,25,0
hp6wa50B,Ebunuebunu (Kontomire Soup),"['kontomire leaves','green scotch bonnet','smoked fish','beef','fresh tomatoes','onions','pepper','kpakposhito','garlic','ginger','kpakposhito paste','dry spices','salt','stock cube','snails']",['ghanaian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['high-protein'],sotyy9kj,375,28,8,20,0
CEIcTjW5,"Abenkatikonto (Kontomire, Groundnut, and Palm Nut Soup)","['kontomire leaves','fresh groundnuts','palm nut extract','vegetable oil','wet spices','dry smoked river fish','beef','dry salted fish','fresh tomatoes','onions','pepper','kpakposhito','garlic','ginger','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['balanced'],aQYt4N0F,530,30,15,35,0
zOQx4rT2,Ayoyo/Ademe Detsi (Saluyot Leaves Soup),"['ademe leaves','saltpere','momoni (salted fish)','beef','tomato sauce','koobi','palm oil','shrimp powder','dawadawa','onions','pepper','kpakposhito','garlic','ginger','dry spices','salt','stock cube','smoked fish','snails','crabs']",['ghanaian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['high-protein'],CFU0iEV5,475,35,12,25,0
A0zBnKBF,Fetri Detsi (Beef Okro Soup),"['okro','saltpere','beef','tomatoes','palm oil','shrimp powder','onions','pepper','kpakposhito paste','garlic','ginger','dry spices','salt','stock cube','smoked fish']",['ghanaian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['high-protein'],Gt2UbFaL,435,28,8,25,0
kkNNjiLR,Kuuka (Baobab Leaves Soup),"['kuuka (baobab leaves) powder','beef','tomatoes','shrimp powder','onions','pepper','kpakposhito paste','garlic','ginger','dry spices','salt','stock cube','smoked fish','dawadawa','cayenne pepper']",['ghanaian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['high-protein'],PTlEufM6,400,25,25,20,0
3W7Gbwhj,Tomato Sauce,"['tomatoes','onions','sweet bell peppers','ginger','garlic','salt','stock cube']",['ghanaian'],For use in the preparation of other dishes,TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],VeR28jfz,196,6.9,35,3,0
ViaSoPQR,Tomato and Onion Gravy,"['Tomatoes','onions','kpakposhitor','garlic','vegetable oil','salt','stock cube']",['ghanaian'],Gravy can be blended or diced,TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],cJpQLfEz,234,4.5,30,9,0
oihXjBB0,Kpakpo Shito (Green Pepper Sauce),"['kpakposhito','green bell pepper','onion','garlic','pea garden eggs','vegetable oil','stock cube','salt']",['ghanaian'],"A hot sauce that is served with a number of dishes such as rice, banku, kenkey, fried yam, grills etc.",TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],ejsJNOuM,300,5,18,24,0
KB3dzqoP,Fresh Pepper Sauce,"['tomatoes','onion','fresh pepper','salt']",['ghanaian'],"A simple and popular sauce eaten with accompaniments such as Ga Kenkey, etsew, banku, smoked and fried fish",TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],cEmbdDHU,115,3,22,2,0
FH1zEzzE,Shito (Black Pepper Sauce),"['smoked dried fish','smoked dried shrimps','tomato paste','pepper','garlic paste','ginger paste','onions','dry spices','vegetable oil','stock cube','salt']",['ghanaian'],A favorite Ghanaian hot sauce which is a perfect accompaniment to any dish of your choice.,TRUE,TRUE,TRUE,TRUE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],42R5ls5E,450,20,15,35,0
uzHZBGXu,Abom (Kontomire Stew),"['kontomire leaves','green chili peppers','onions','koobi','smoked fish','boiled eggs','momoni','palm oil','stock cube','salt']",['ghanaian'],Abom is a simple nutritious stew that is popular among indigenes from the middle belt of the country,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],KJuTWGfy,520,18,12,44,0
V718O4rB,Abom (Vegan Kontomire Stew),"['kontomire leaves','green chili peppers','onions','tofu','palm oil','stock cube','salt']",['ghanaian'],Abom is a simple nutritious stew that is popular among indigenes from the middle belt of the country,TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],qsgIo6z9,400,10,12,35,0
nOa0gpCP,Agushie (White Seed Stew),"['agushie','beef','shrimp powder','palm oil','tomato puree','onion','pepper','garlic','kpakposhito paste','dry spices','momoni','salt','stock cube']",['ghanaian'],Agushie Stew is a red oil stew made from ground seeds of a type of melon or squash,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],bIqp014W,620,25,16,48,0
DDXpd8Hg,Agushie (Vegan White Seed Stew),"['agushie','palm oil','tomato puree','onion','pepper','garlic','kpakposhito paste','dry spices','tofu','salt','stock cube']",['ghanaian'],Agushie Stew is a red oil stew made from ground seeds of a type of melon or squash,TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],xXPoEijU,580,20,15,46,0
Lp6CBJoq,Palava Sauce (Kontomire with White Seed Stew),"['agushie','kontomire','beef','shrimp powder','palm oil','fresh tomato puree','onion','pepper','garlic','kpakposhito paste','dry spices','momoni','salt','stock cube']",['ghanaian'],"Aside Kontomire leaves, other green leafy vegetables can be used.",FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],Ymd2b86D,630,27,18,50,0
BqykdKlS,Palava Sauce (Kontomire with White Seed Stew),"['agushie','kontomire','palm oil','fresh tomato puree','onion','pepper','garlic','kpakposhito paste','dry spices','tofu','salt','stock cube']",['ghanaian'],"Aside Kontomire leaves, other green leafy vegetables can be used.",FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],ZLtI3v8A,560,22,17,48,0
syFqECLq,Gari,['cassava'],['ghanaian'],Gari is fried cassava granules,TRUE,TRUE,TRUE,FALSE,TRUE,"['breakfast','dinner']",['carb'],['moderate-carbs'],Qn9JV312,120,1,28,0,0
zC9Ldwg0,Nkruma Frowee (Okro Stew),"['okro','beef','shrimp powder','palm oil','tomatoes','onion','pepper','garlic','kpakposhito paste','dry spices','saltpere','momoni','salt','stock cube']",['ghanaian'],This is a variant of Okro soup,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],eJe6eva4,590,24,14,48,0
7U4GuVm4,Nkruma Frowee (Okro Stew),"['okro','palm oil','tomatoes','onion','pepper','garlic','kpakposhito paste','dry spices','saltpere','salt','tofu','stock cube']",['ghanaian'],This is a variant of Okro soup,TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],Czd53tdY,520,20,13,46,0
PPJXKi5E,Nkruma Frowee (Okro Stew),"['okro','palm oil','tomatoes','onion','pepper','garlic','kpakposhito paste','dry spices','saltpere','salt','shrimp powder','stock cube','smoked fish']",['ghanaian'],This is a variant of Okro soup,FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],JYtpnNx0,580,22,14,48,0
7AglWrZk,Ntroba Frowee (Garden Eggs Stew),"['garden eggs','beef','shrimp powder','palm oil','tomatoes','onions','koobi','pepper','garlic','kpakposhito paste','dry spices','salt','momoni','stock cube']",['ghanaian'],"There are many varieties of this stew and they are the ""abom"" version, boiled and dissected version, and the diced and stewed version.",FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],MeYJ52EW,610,25,15,50,0
BTfVrxIy,Ntroba Frowee (Garden Eggs Stew),"['garden eggs','tofu','palm oil','tomatoes','onions','koobi','pepper','garlic','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],"There are many varieties of this stew and they are the ""abom"" version, boiled and dissected version, and the diced and stewed version.",TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],0M9GXCMc,520,20,14,46,0
bGvHg5kM,Ntroba Frowee (Garden Eggs Stew),"['garden eggs','smoked fish','shrimp powder','palm oil','tomatoes','onions','koobi','pepper','garlic','kpakposhito paste','dry spices','salt','momoni','stock cube']",['ghanaian'],"There are many varieties of this stew and they are the ""abom"" version, boiled and dissected version, and the diced and stewed version.",FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],Mulrtwhh,600,23,15,49,0
yis4jqtE,Nkruma Na Ntroba Frowee (Okro and Garden Eggs Stew),"['garden eggs','okro','beef','shrimp powder','palm oil','tomatoes','onions','pepper','garlic','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],This stew combines okro and garden eggs into a colourful and well-balanced nutritious vegetable stew,FALSE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],yBfkUkAo,620,27,16,50,0
ec4SaY5W,Nkruma Na Ntroba Frowee (Okro and Garden Eggs Stew),"['garden eggs','okro','tofu','shrimp powder','palm oil','tomatoes','onions','pepper','garlic','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],This stew combines okro and garden eggs into a colourful and well-balanced nutritious vegetable stew,TRUE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],9sTDrUj2,530,21,15,47,0
lzKohVXE,Nkruma Na Ntroba Frowee (Okro and Garden Eggs Stew),"['garden eggs','okro','smoked fish','shrimp powder','palm oil','tomatoes','onions','pepper','garlic','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],This stew combines okro and garden eggs into a colourful and well-balanced nutritious vegetable stew,FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],6OimKR3f,610,24,16,49,0
tjd017z1,Bokoboko Frowee (Waterleaf Stew),"['bokoboko leaves','beef','shrimp powder','palm oil','tomatoes','onion','pepper','garlic','kpakposhito paste','dry spices','momoni','salt','stock cube']",['ghanaian'],Bokoboko is an overlooked plant in Ghanaian cuisine.,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],pljEdPB4,610,26,17,50,0
RQiewVaI,Bokoboko Frowee (Waterleaf Stew),"['bokoboko leaves','tofu','shrimp powder','palm oil','tomatoes','onion','pepper','garlic','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],Bokoboko is an overlooked plant in Ghanaian cuisine.,TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],HgvPp9X0,520,20,16,47,0
BuTBYfyo,Bokoboko Frowee (Waterleaf Stew),"['bokoboko leaves','smoked fish','shrimp powder','palm oil','tomatoes','onion','pepper','garlic','kpakposhito paste','dry spices','momoni','salt','stock cube']",['ghanaian'],Bokoboko is an overlooked plant in Ghanaian cuisine.,FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['sauce'],['balanced'],G4hIqG8Q,600,23,17,49,0
